donor_id,donor_name,donor_type,city
1,Donor_1,Local Org,Peshawar
2,Donor_2,Individual,Lahore
3,Donor_3,Individual,Lahore
4,Donor_4,Individual,Islamabad
5,Donor_5,Individual,Peshawar
6,Donor_6,Corporate,Lahore
7,Donor_7,Individual,Peshawar
8,Donor_8,Individual,Karachi
9,Donor_9,Individual,Lahore
10,Donor_10,International Org,Peshawar
11,Donor_11,Individual,Lahore
12,Donor_12,Individual,Lahore
13,Donor_13,Individual,Karachi
14,Donor_14,Individual,Islamabad
15,Donor_15,Corporate,Peshawar
16,Donor_16,Individual,Lahore
17,Donor_17,Local Org,Karachi
18,Donor_18,Individual,Karachi
19,Donor_19,Individual,Islamabad
20,Donor_20,Individual,Islamabad
21,Donor_21,International Org,Karachi
22,Donor_22,Corporate,Karachi
23,Donor_23,Individual,Peshawar
24,Donor_24,Individual,Peshawar
25,Donor_25,Individual,Karachi
26,Donor_26,Corporate,Karachi
27,Donor_27,Individual,Islamabad
28,Donor_28,Individual,Peshawar
29,Donor_29,International Org,Karachi
30,Donor_30,Individual,Peshawar
31,Donor_31,Local Org,Peshawar
32,Donor_32,Local Org,Karachi
33,Donor_33,Corporate,Karachi
34,Donor_34,International Org,Lahore
35,Donor_35,Individual,Peshawar
36,Donor_36,Individual,Peshawar
37,Donor_37,Individual,Islamabad
38,Donor_38,International Org,Islamabad
39,Donor_39,Individual,Islamabad
40,Donor_40,Individual,Peshawar
41,Donor_41,International Org,Karachi
42,Donor_42,International Org,Karachi
43,Donor_43,Individual,Karachi
44,Donor_44,Individual,Peshawar
45,Donor_45,Individual,Karachi
46,Donor_46,Individual,Islamabad
47,Donor_47,Individual,Karachi
48,Donor_48,Individual,Karachi
49,Donor_49,Individual,Islamabad
50,Donor_50,Individual,Lahore
51,Donor_51,Individual,Lahore
52,Donor_52,International Org,Lahore
53,Donor_53,Individual,Peshawar
54,Donor_54,Individual,Peshawar
55,Donor_55,Individual,Islamabad
56,Donor_56,International Org,Lahore
57,Donor_57,Local Org,Peshawar
58,Donor_58,Individual,Karachi
59,Donor_59,Local Org,Lahore
60,Donor_60,Individual,Lahore
61,Donor_61,Individual,Peshawar
62,Donor_62,Individual,Lahore
63,Donor_63,Individual,Islamabad
64,Donor_64,Corporate,Islamabad
65,Donor_65,Individual,Peshawar
66,Donor_66,Corporate,Lahore
67,Donor_67,Individual,Islamabad
68,Donor_68,Individual,Lahore
69,Donor_69,Individual,Islamabad
70,Donor_70,Individual,Islamabad
71,Donor_71,International Org,Lahore
72,Donor_72,International Org,Peshawar
73,Donor_73,Individual,Peshawar
74,Donor_74,Individual,Peshawar
75,Donor_75,Individual,Lahore
76,Donor_76,Local Org,Lahore
77,Donor_77,Individual,Lahore
78,Donor_78,Individual,Peshawar
79,Donor_79,Individual,Lahore
80,Donor_80,Individual,Peshawar
81,Donor_81,Local Org,Islamabad
82,Donor_82,Individual,Peshawar
83,Donor_83,Local Org,Peshawar
84,Donor_84,International Org,Karachi
85,Donor_85,Corporate,Karachi
86,Donor_86,International Org,Peshawar
87,Donor_87,Corporate,Karachi
88,Donor_88,Individual,Lahore
89,Donor_89,Individual,Karachi
90,Donor_90,Individual,Karachi
91,Donor_91,Individual,Karachi
92,Donor_92,Individual,Peshawar
93,Donor_93,Individual,Islamabad
94,Donor_94,Individual,Islamabad
95,Donor_95,Individual,Islamabad
96,Donor_96,International Org,Islamabad
97,Donor_97,International Org,Islamabad
98,Donor_98,International Org,Islamabad
99,Donor_99,Individual,Peshawar
100,Donor_100,Individual,Lahore
101,Donor_101,Individual,Lahore
102,Donor_102,Individual,Islamabad
103,Donor_103,Individual,Karachi
104,Donor_104,International Org,Karachi
105,Donor_105,Corporate,Peshawar
106,Donor_106,Individual,Islamabad
107,Donor_107,Local Org,Islamabad
108,Donor_108,International Org,Karachi
109,Donor_109,Corporate,Islamabad
110,Donor_110,Individual,Islamabad
111,Donor_111,Local Org,Karachi
112,Donor_112,Individual,Lahore
113,Donor_113,Individual,Lahore
114,Donor_114,Corporate,Peshawar
115,Donor_115,Individual,Karachi
116,Donor_116,Local Org,Peshawar
117,Donor_117,International Org,Islamabad
118,Donor_118,Individual,Karachi
119,Donor_119,Individual,Lahore
120,Donor_120,Individual,Islamabad
121,Donor_121,Individual,Lahore
122,Donor_122,Individual,Lahore
123,Donor_123,Individual,Peshawar
124,Donor_124,Individual,Karachi
125,Donor_125,International Org,Karachi
126,Donor_126,Individual,Karachi
127,Donor_127,International Org,Peshawar
128,Donor_128,Individual,Lahore
129,Donor_129,Individual,Peshawar
130,Donor_130,International Org,Karachi
131,Donor_131,Individual,Islamabad
132,Donor_132,Corporate,Karachi
133,Donor_133,Corporate,Karachi
134,Donor_134,Corporate,Lahore
135,Donor_135,Individual,Karachi
136,Donor_136,International Org,Karachi
137,Donor_137,Corporate,Lahore
138,Donor_138,Individual,Karachi
139,Donor_139,International Org,Karachi
140,Donor_140,Individual,Lahore
141,Donor_141,Individual,Islamabad
142,Donor_142,Individual,Lahore
143,Donor_143,Individual,Karachi
144,Donor_144,Individual,Peshawar
145,Donor_145,Individual,Islamabad
146,Donor_146,Individual,Lahore
147,Donor_147,Individual,Islamabad
148,Donor_148,Local Org,Islamabad
149,Donor_149,Individual,Peshawar
150,Donor_150,International Org,Peshawar
151,Donor_151,Individual,Peshawar
152,Donor_152,Corporate,Karachi
153,Donor_153,Individual,Lahore
154,Donor_154,Individual,Karachi
155,Donor_155,Local Org,Lahore
156,Donor_156,Corporate,Karachi
157,Donor_157,International Org,Karachi
158,Donor_158,Individual,Peshawar
159,Donor_159,International Org,Karachi
160,Donor_160,Individual,Peshawar
161,Donor_161,Individual,Lahore
162,Donor_162,Individual,Peshawar
163,Donor_163,Individual,Islamabad
164,Donor_164,Individual,Islamabad
165,Donor_165,Corporate,Karachi
166,Donor_166,International Org,Islamabad
167,Donor_167,Individual,Lahore
168,Donor_168,Local Org,Karachi
169,Donor_169,International Org,Peshawar
170,Donor_170,Individual,Karachi
171,Donor_171,Individual,Karachi
172,Donor_172,Individual,Islamabad
173,Donor_173,Individual,Karachi
174,Donor_174,International Org,Lahore
175,Donor_175,Individual,Karachi
176,Donor_176,Individual,Peshawar
177,Donor_177,Individual,Peshawar
178,Donor_178,Individual,Islamabad
179,Donor_179,Individual,Karachi
180,Donor_180,Individual,Peshawar
181,Donor_181,Local Org,Karachi
182,Donor_182,Individual,Karachi
183,Donor_183,Individual,Peshawar
184,Donor_184,Local Org,Karachi
185,Donor_185,Individual,Islamabad
186,Donor_186,Individual,Islamabad
187,Donor_187,Individual,Peshawar
188,Donor_188,Individual,Lahore
189,Donor_189,Individual,Lahore
190,Donor_190,Individual,Karachi
191,Donor_191,Individual,Islamabad
192,Donor_192,Corporate,Peshawar
193,Donor_193,Individual,Islamabad
194,Donor_194,Individual,Lahore
195,Donor_195,Local Org,Lahore
196,Donor_196,International Org,Karachi
197,Donor_197,Corporate,Peshawar
198,Donor_198,Individual,Karachi
199,Donor_199,Individual,Islamabad
200,Donor_200,Individual,Islamabad
201,Donor_201,International Org,Lahore
202,Donor_202,Individual,Karachi
203,Donor_203,International Org,Islamabad
204,Donor_204,Local Org,Islamabad
205,Donor_205,Corporate,Islamabad
206,Donor_206,Corporate,Peshawar
207,Donor_207,Individual,Lahore
208,Donor_208,Individual,Karachi
209,Donor_209,Individual,Islamabad
210,Donor_210,Individual,Peshawar
211,Donor_211,Individual,Islamabad
212,Donor_212,Individual,Islamabad
213,Donor_213,International Org,Lahore
214,Donor_214,Local Org,Peshawar
215,Donor_215,International Org,Islamabad
216,Donor_216,Individual,Lahore
217,Donor_217,Individual,Peshawar
218,Donor_218,Individual,Islamabad
219,Donor_219,Individual,Karachi
220,Donor_220,Corporate,Lahore
221,Donor_221,Individual,Islamabad
222,Donor_222,Individual,Islamabad
223,Donor_223,Individual,Peshawar
224,Donor_224,Individual,Karachi
225,Donor_225,International Org,Lahore
226,Donor_226,Local Org,Peshawar
227,Donor_227,Local Org,Islamabad
228,Donor_228,Individual,Lahore
229,Donor_229,International Org,Islamabad
230,Donor_230,Individual,Islamabad
231,Donor_231,Corporate,Karachi
232,Donor_232,International Org,Islamabad
233,Donor_233,Individual,Lahore
234,Donor_234,Local Org,Islamabad
235,Donor_235,Individual,Lahore
236,Donor_236,Individual,Karachi
237,Donor_237,Individual,Islamabad
238,Donor_238,International Org,Peshawar
239,Donor_239,Corporate,Lahore
240,Donor_240,Corporate,Islamabad
241,Donor_241,Individual,Peshawar
242,Donor_242,Individual,Lahore
243,Donor_243,Corporate,Peshawar
244,Donor_244,Individual,Islamabad
245,Donor_245,Individual,Karachi
246,Donor_246,Individual,Karachi
247,Donor_247,Individual,Peshawar
248,Donor_248,Individual,Islamabad
249,Donor_249,Individual,Islamabad
250,Donor_250,International Org,Lahore
